,STATE_ABBR,DATA_YEAR,STATE_POPULATION,STATE_TOTAL_CRIMES
346,DE,1990,666168,67053
347,DE,1991,680000,74967
348,DE,1992,689000,62532
349,DE,1993,700000,63409
350,DE,1994,706000,64491
351,FL,2016,20656589,1197794
352,FL,2017,20984400,1140857
353,FL,2004,17385430,1578036
354,FL,1996,14400000,2007896
355,FL,1997,14654000,1981222
356,FL,1998,14916000,1914230
357,FL,1999,15111244,1746392
358,FL,2000,15982378,1690531
359,FL,2001,16373330,1695747
360,FL,2002,16691701,1683193
361,FL,2003,16999181,1639672
362,FL,2005,17768191,1551953
363,FL,2006,18089888,1571804
364,FL,2007,18251243,1627054
365,FL,2008,18328340,1646594
366,FL,2009,18537969,1539788
367,FL,2010,18838613,1441949
368,FL,2011,19082262,1442385
369,FL,2012,19320749,1361810
370,FL,2013,19600311,1308006
371,FL,2014,19905569,1260421
372,FL,1995,14166000,2030287
373,FL,2015,20244914,1235667
374,FL,1979,8860000,1288443
375,FL,1980,9567112,1513555
376,FL,1981,10166000,1535049
377,FL,1982,10416000,1461743
378,FL,1983,10680000,1360160
379,FL,1984,10976000,1402128
380,FL,1985,11366000,1614807
381,FL,1986,11675000,1800315
382,FL,1987,12023000,1921502
383,FL,1988,12377000,2074081
384,FL,1989,12671000,2090659
385,FL,1990,12937926,2118878
386,FL,1991,13277000,2112383
387,FL,1992,13488000,2091893
388,FL,1993,13679000,2119701
389,FL,1994,13953000,2142226
390,GA,2016,10313620,655964
391,GA,2017,10429379,634777
392,GA,1996,7353000,880938
393,GA,1999,7788240,760351
394,GA,2000,8186453,736579
395,GA,2001,8405677,737415
396,GA,2002,8544005,732389
397,GA,2003,8676460,778613
398,GA,2004,8918129,793529
399,GA,2005,9132553,797793
400,GA,2006,9363941,770178
401,GA,2007,9544750,790999
402,GA,2008,9685744,824816
403,GA,2009,9829211,765395
404,GA,2010,9712157,747157
405,GA,2011,9812460,752471
406,GA,2012,9915646,717862
407,GA,2013,9994759,718252
408,GA,1997,7486000,821718
409,GA,1998,7642000,791196
410,GA,1995,7201000,817327
411,GA,2015,10199398,671797
412,GA,2014,10097132,718304
413,GA,1979,5118000,525876
414,GA,1980,5400851,575297
415,GA,1981,5569000,596379
416,GA,1982,5639000,561157
417,GA,1983,5732000,490303
418,GA,1984,5837000,497177
419,GA,1985,5976000,580451
420,GA,1986,6104000,630129
421,GA,1987,6222000,684890
422,GA,1988,6401000,767341
423,GA,1989,6436000,863093
424,GA,1990,6478216,827326
425,GA,1991,6623000,811224
426,GA,1992,6751000,815364
427,GA,1993,6917000,806715
428,GA,1994,7055000,800955
429,IA,2016,3130869,141321
430,IA,2017,3145711,143364
431,IA,2001,2931967,185133
432,IA,2002,2935840,194142
433,IA,2003,2941976,183283
434,IA,2004,2952904,180049
435,IA,2005,2965524,177437
436,IA,1997,2852000,208813
437,IA,1998,2862000,191460
438,IA,1999,2869413,176960
439,IA,2000,2926324,181464
440,IA,2006,2982085,176925
441,IA,2007,2988046,167871
442,IA,2008,3002555,155801
443,IA,2009,3007856,149207
444,IA,2010,3050202,146155
445,IA,2011,3064097,152487
446,IA,2012,3075039,149433
447,IA,1984,2910000,215351
448,IA,2014,3109481,139087
449,IA,1982,2905000,235314
450,IA,1996,2852000,200363
451,IA,1983,2905000,222436
452,IA,1995,2842000,223079
453,IA,2015,3121997,138435
454,IA,2013,3092341,144854
455,IA,1979,2903000,244499
456,IA,1980,2907804,270226
457,IA,1981,2897000,267361
458,IA,1985,2884000,221320
459,IA,1986,2851000,229969
460,IA,1987,2834000,228115
461,IA,1988,2834000,223787
462,IA,1989,2840000,224261
463,IA,1990,2776755,219421
464,IA,1991,2795000,222615
465,IA,1992,2812000,214734
466,IA,1993,2814000,207319
467,IA,1994,2829000,197864
468,ID,2016,1680026,62782
469,ID,2017,1716943,60227
470,ID,1996,1189000,92241
471,ID,1997,1210000,91883
472,ID,1998,1229000,87838
473,ID,1999,1251700,75792
474,ID,2000,1293953,79189
475,ID,2001,1320585,79573
476,ID,2002,1343124,81675
477,ID,2003,1367034,83446
478,ID,2004,1395140,81050
479,ID,2005,1429367,80782
480,ID,2006,1466465,73936
481,ID,2007,1499402,72450
482,ID,2008,1523816,67822
483,ID,2009,1545801,66485
484,ID,2010,1571102,66575
485,ID,2011,1583744,69179
486,ID,2012,1595590,67251
487,ID,1995,1163000,98633
488,ID,2015,1652828,61660
489,ID,2013,1612843,64127
490,ID,2014,1634806,64545
491,ID,1985,1005000,76192
492,ID,1979,905000,74145
493,ID,1980,943629,87295
494,ID,1981,959000,84183
495,ID,1982,965000,76305
496,ID,1983,989000,74105
497,ID,1984,1001000,71151
498,ID,1986,1003000,82160
499,ID,1987,998000,80822
500,ID,1988,999000,77035
501,ID,1989,1014000,77138
502,ID,1990,1006749,78914
503,ID,1991,1039000,84172
504,ID,1992,1067000,82275
505,ID,1993,1099000,81419
506,ID,1994,1133000,89146
507,IL,2016,12835726,585111
508,IL,2017,12802023,572984
509,IL,1996,11847000,1155036
510,IL,1997,11896000,1120702
511,IL,1998,12045000,1073121
512,IL,1999,12128370,1011499
513,IL,2000,12419293,971752
514,IL,2001,12520227,948566
515,IL,2002,12586447,936717
516,IL,2003,12649087,902146
517,IL,2004,12712016,876337
518,IL,2005,12765427,859836
519,IL,2006,12831970,844454
520,IL,2007,12852548,824922
521,IL,2008,12901563,826099
522,IL,2009,12910409,772750
523,IL,2010,12841980,757383
524,IL,2011,12859752,746555
525,IL,2012,12868192,722294
526,IL,1995,11830000,1172980
527,IL,2015,12839047,566040
528,IL,2013,12890552,646397
529,IL,2014,12882189,589456
530,IL,1979,11230000,1271040
531,IL,1980,11355062,1331967
532,IL,1981,11455000,1310315
533,IL,1982,11448000,1248552
534,IL,1983,11486000,1189343
535,IL,1984,11511000,1137689
536,IL,1985,11535000,1142858
537,IL,1986,11533000,1190076
538,IL,1987,11582000,1162468
539,IL,1988,11544000,1204189
540,IL,1989,11658000,1216217
541,IL,1990,11430602,1246257
542,IL,1991,11543000,1295691
543,IL,1992,11631000,1227464
544,IL,1993,11697000,1201998
545,IL,1994,11752000,1209372
546,IN,2016,6634007,364202
547,IN,2017,6666818,349630
548,IN,2009,6423113,422418
549,IN,1996,5841000,494118
550,IN,1997,5864000,493625
551,IN,1998,5899000,466481
552,IN,1999,5942901,425355
553,IN,2000,6080485,435040
554,IN,2001,6126743,445830
555,IN,2002,6156913,439931
556,IN,2003,6199571,437920
557,IN,2004,6226537,444152
558,IN,2005,6266019,453858
559,IN,2006,6313520,455869
560,IN,2007,6345289,450447
561,IN,2008,6376792,450157
562,IN,2010,6490622,420717
563,IN,2011,6516353,434801
564,IN,2012,6537782,419748
565,IN,2014,6597880,374738
566,IN,1995,5803000,507085
567,IN,2015,6612768,369841
568,IN,2013,6570713,399583
569,IN,1979,5400000,478700
570,IN,1980,5461103,517871
571,IN,1981,5466000,477616
572,IN,1982,5471000,468232
573,IN,1983,5479000,436997
