,ORI,DATA_YEAR,POPULATION
287,AR0540100,2010,12282
288,AR0540100,2009,11921
289,AR0540100,2008,12147
290,AR0570100,2017,5624
291,AR0570100,2016,5635
292,AR0570100,2015,5639
293,AR0570100,2014,5717
294,AR0570100,2013,5721
295,AR0570100,2012,5745
296,AR0570100,2011,5780
297,AR0570100,2010,5737
298,AR0570100,2009,5626
299,AR0570100,2008,5581
300,AR0600000,2017,50469
301,AR0600000,2016,49645
302,AR0600000,2015,49998
303,AR0600000,2014,50017
304,AR0600000,2013,51032
305,AR0600000,2012,51765
306,AR0600000,2011,51488
307,AR0600000,2010,51102
308,AR0600000,2009,56350
309,AR0600000,2008,54624
310,AR0600300,2017,66938
311,AR0600300,2016,67344
312,AR0600300,2015,67943
313,AR0600300,2014,67031
314,AR0600300,2013,65398
315,AR0600300,2012,63125
316,AR0600300,2011,62775
317,AR0600300,2010,62304
318,AR0600300,2009,59320
319,AR0600300,2008,59369
320,AR0600400,2017,30830
321,AR0600400,2016,30676
322,AR0600400,2015,30572
323,AR0600400,2014,30159
324,AR0600400,2013,29900
325,AR0600400,2012,29914
326,AR0600400,2011,29746
327,AR0600400,2010,29523
328,AR0600400,2009,24888
329,AR0600400,2008,24486
330,AR0600900,2017,0
331,AR0600900,2016,0
332,AR0600900,2015,0
333,AR0600900,2014,0
334,AR0600900,2013,0
335,AR0600900,2012,0
336,AR0600900,2011,0
337,AR0600900,2010,0
338,AR0600900,2009,0
339,AR0600900,2008,0
340,AR0630100,2017,36702
341,AR0630100,2016,34920
342,AR0630100,2015,34356
343,AR0630100,2014,33758
344,AR0630100,2013,32548
345,AR0630100,2012,31486
346,AR0630100,2011,30913
347,AR0630100,2010,30681
348,AR0630100,2009,30276
349,AR0630100,2008,29121
350,AR0630200,2017,20593
351,AR0630200,2016,20687
352,AR0630200,2015,20404
353,AR0630200,2014,20038
354,AR0630200,2013,19366
355,AR0630200,2012,17129
356,AR0630200,2011,16814
357,AR0630200,2010,16688
358,AR0630200,2009,15573
359,AR0630200,2008,15218
360,AR0660000,2017,21841
361,AR0660000,2016,22259
362,AR0660000,2015,22267
363,AR0660000,2014,22398
364,AR0660000,2013,26062
365,AR0660000,2012,26323
366,AR0660000,2011,25401
367,AR0660000,2010,25211
368,AR0660000,2009,24317
369,AR0660000,2008,23787
370,AR0660100,2017,88437
371,AR0660100,2016,88573
372,AR0660100,2015,87603
373,AR0660100,2014,87989
374,AR0660100,2013,87821
375,AR0660100,2012,87483
376,AR0660100,2011,86861
377,AR0660100,2010,86209
378,AR0660100,2009,85175
379,AR0660100,2008,84847
380,AR0670000,2017,10337
381,AR0670000,2016,10582
382,AR0670000,2015,10717
383,AR0670000,2014,10659
384,AR0670000,2013,10563
385,AR0670000,2012,10651
386,AR0670000,2011,10543
387,AR0670000,2010,10464
388,AR0670000,2009,10704
389,AR0670000,2008,10490
390,AR0710200,2017,2505
391,AR0710200,2016,2526
392,AR0710200,2015,2537
393,AR0710200,2014,2557
394,AR0710200,2013,2561
395,AR0710200,2012,2580
396,AR0710200,2011,2622
397,AR0710200,2010,2602
398,AR0710200,2009,2482
399,AR0710200,2008,2388
400,AR0720000,2017,48815
401,AR0720000,2016,47612
402,AR0720000,2015,47157
403,AR0720000,2014,45800
404,AR0720000,2013,45263
405,AR0720000,2012,48171
406,AR0720000,2011,47269
407,AR0720000,2010,46915
408,AR0720000,2009,44154
409,AR0720000,2008,44175
410,AR0730700,2017,2002
411,AR0730700,2016,2028
412,AR0730700,2015,2018
413,AR0730700,2014,2035
414,AR0730700,2013,2055
415,AR0730700,2013,2055
416,AR0730700,2012,2056
417,AR0730700,2012,2056
418,AR0730700,2011,2034
419,AR0730700,2010,2019
420,AR0750200,2017,2450
421,AR0750200,2016,2338
422,AR0750200,2015,2368
423,AR0750200,2014,2375
424,AR0750200,2013,2370
425,AR0750200,2012,2405
426,AR0750200,2011,2427
427,AR0750200,2010,2409
428,AR0750200,2009,2486
429,AR0750200,2008,2472
430,AZ0020900,2017,42859
431,AZ0020900,2016,42988
432,AZ0020900,2015,43452
433,AZ0020900,2014,45144
434,AZ0020900,2013,46728
435,AZ0020900,2012,46612
436,AZ0020900,2011,44509
437,AZ0020900,2010,43888
438,AZ0020900,2009,43956
439,AZ0020900,2008,43642
440,AZ0030100,2017,72388
441,AZ0030100,2016,71179
442,AZ0030100,2015,69471
443,AZ0030100,2014,69490
444,AZ0030100,2013,67963
445,AZ0030100,2012,66633
446,AZ0030100,2011,66802
447,AZ0030100,2010,65870
448,AZ0030100,2009,61072
449,AZ0030100,2008,60400
450,AZ0039700,2017,0
451,AZ0039700,2016,0
452,AZ0039700,2015,0
453,AZ0039700,2014,0
454,AZ0039700,2013,0
455,AZ0039700,2012,0
456,AZ0039700,2011,0
457,AZ0039700,2010,0
458,AZ0039700,2009,0
459,AZ0039700,2008,0
460,AZ0070000,2017,400793
461,AZ0070000,2016,403509
462,AZ0070000,2015,395937
463,AZ0070000,2014,408648
464,AZ0070000,2013,387794
465,AZ0070000,2012,370046
466,AZ0070000,2011,365362
467,AZ0070000,2010,354104
468,AZ0070000,2009,244834
469,AZ0070000,2008,288024
470,AZ0070100,2017,84041
471,AZ0070100,2016,81605
472,AZ0070100,2015,80533
473,AZ0070100,2014,79472
474,AZ0070100,2013,78905
475,AZ0070100,2012,78364
476,AZ0070100,2011,77317
477,AZ0070100,2010,76238
478,AZ0070100,2009,88773
479,AZ0070100,2008,85376
480,AZ0071100,2017,242090
481,AZ0071100,2016,255899
482,AZ0071100,2015,247324
483,AZ0071100,2014,235430
484,AZ0071100,2013,225232
485,AZ0071100,2012,214264
486,AZ0071100,2011,211404
487,AZ0071100,2010,208453
488,AZ0071100,2009,231799
489,AZ0071100,2008,220373
490,AZ0071300,2017,249273
491,AZ0071300,2016,242938
492,AZ0071300,2015,240374
493,AZ0071300,2014,236780
494,AZ0071300,2013,234006
495,AZ0071300,2012,232997
496,AZ0071300,2011,229931
497,AZ0071300,2010,226721
498,AZ0071300,2009,255080
499,AZ0071300,2008,256659
500,AZ0071700,2017,492268
501,AZ0071700,2016,478277
502,AZ0071700,2015,471034
503,AZ0071700,2014,462092
504,AZ0071700,2013,456155
505,AZ0071700,2012,451391
506,AZ0071700,2011,445256
507,AZ0071700,2010,439041
508,AZ0071700,2009,470833
509,AZ0071700,2008,456821
510,AZ0072300,2017,1644177
511,AZ0072300,2016,1586611
512,AZ0072300,2015,1559744
513,AZ0072300,2014,1529852
514,AZ0072300,2013,1502139
515,AZ0072300,2012,1485509
516,AZ0072300,2011,1466097
